,date,open,high,low,close,adjclose,volume,company_name,target_variation
0,20191202,22.65999984741211,23.1299991607666,21.09000015258789,21.8700008392334,21.8700008392334,106500,biontech,-0.03612249555845936
1,20191203,22.049999237060547,23.149999618530273,20.719999313354492,20.770000457763672,20.770000457763672,88400,biontech,-0.061627287004628876
2,20191204,21.489999771118164,22.959999084472656,21.049999237060547,21.3700008392334,21.3700008392334,146500,biontech,-0.0056152984170435025
3,20191205,21.75,22.670000076293945,21.350000381469727,22.489999771118164,22.489999771118164,129900,biontech,0.03290350283011019
4,20191206,22.850000381469727,24.469999313354492,22.65999984741211,24.3700008392334,24.3700008392334,251500,biontech,0.06237178520390589
5,20191209,25.0,29.969999313354492,25.0,29.0,29.0,393900,biontech,0.13793103448275862
6,20191210,29.0,29.489999771118164,27.280000686645508,28.0,28.0,180200,biontech,-0.03571428571428571
7,20191211,28.700000762939453,31.299999237060547,28.649999618530273,31.299999237060547,31.299999237060547,205200,biontech,0.08306704592639681
8,20191212,32.70000076293945,34.0,28.979999542236328,29.84000015258789,29.84000015258789,380900,biontech,-0.09584452398548421
9,20191213,32.150001525878906,32.849998474121094,30.700000762939453,32.45000076293945,32.45000076293945,232700,biontech,0.009244968567247939
10,20191216,38.439998626708984,38.75,34.65999984741211,35.0,35.0,622900,biontech,-0.09828567504882812
11,20191217,36.5099983215332,36.917999267578125,34.81999969482422,36.90999984741211,36.90999984741211,261600,biontech,0.010837212883569052
12,20191218,35.47999954223633,35.81999969482422,33.119998931884766,35.0,35.0,146500,biontech,-0.013714272635323661
13,20191219,33.869998931884766,33.869998931884766,27.72800064086914,29.34000015258789,29.34000015258789,250500,biontech,-0.154396685607969
14,20191220,31.809999465942383,34.970001220703125,31.809999465942383,34.970001220703125,34.970001220703125,447900,biontech,0.09036321545479219
15,20191223,34.90999984741211,35.900001525878906,33.099998474121094,34.72999954223633,34.72999954223633,103500,biontech,-0.005182847899461582
16,20191224,34.61000061035156,34.61000061035156,33.0099983215332,33.470001220703125,33.470001220703125,23900,biontech,-0.034060333076512773
17,20191226,33.290000915527344,34.0,31.590999603271484,33.20000076293945,33.20000076293945,53900,biontech,-0.002710847907219211
18,20191227,32.61000061035156,33.58000183105469,32.02000045776367,32.58000183105469,32.58000183105469,38100,biontech,-0.0009207727934588601
19,20191230,33.0,34.90999984741211,33.0,34.90999984741211,34.90999984741211,33500,biontech,0.054712112740203815
20,20191231,34.709999084472656,34.75899887084961,33.689998626708984,33.880001068115234,33.880001068115234,40000,biontech,-0.024498169722271358
21,20200102,35.75,38.5,35.36000061035156,38.5,38.5,139500,biontech,0.07142857142857142
22,20200103,38.0,41.25,36.41999816894531,40.04999923706055,40.04999923706055,176000,biontech,0.051185999403554686
23,20200106,40.11000061035156,45.0,40.099998474121094,44.58000183105469,44.58000183105469,333300,biontech,0.10026920226793926
24,20200107,47.400001525878906,48.849998474121094,41.18000030517578,43.34000015258789,43.34000015258789,562100,biontech,-0.09367792706499535
25,20200108,44.29999923706055,46.33000183105469,44.18000030517578,45.099998474121094,45.099998474121094,193900,biontech,0.017738342885301777
26,20200109,46.54999923706055,46.709999084472656,42.709999084472656,43.27000045776367,43.27000045776367,234900,biontech,-0.07580306782059128
27,20200110,44.9900016784668,44.9900016784668,38.209999084472656,39.68000030517578,39.68000030517578,369100,biontech,-0.13382059809607383
